,taxon_oid,portal_name
13046,3300022824,IRBST25metaG_FD
13047,3300044713,PH28metagenome_4_FD
13048,3300002304,LakMenEpi27Jul12_FD
13049,3300042763,IMG_3300042763
13050,3300014263,MayberryNW_TuleC_FD
13051,3300014891,IMG_3300014891
13052,3300025997,CryGeymeta201506_FD
13053,3300010363,WG8virinduction_FD
13054,3300023233,AntAcemetage1400_FD
13055,3300007715,ColrivemetaGS751_FD
13056,3300007629,Colrivmeta1554B3_FD
13057,3300038546,IMG_3300038546
13058,3300012183,AntDrymUQ4692206_2_FD
13059,3300022833,AntAcemetagen292_FD
13060,3300007846,IMG_3300007846
13061,3300027723,PPLLak12cMay2015_2_FD
13062,3300003616,LauGreFBDMM110DN_2_FD
13063,3300025620,COGITO_mtgs_1105_6_FD
13064,3300005431,ETNtaG_8_FD
13065,3300041960,IMG_3300041960
13066,3300035210,Frozen_pond_0310_FD
13067,3300046337,ER_95metagenome_FD
13068,3300032306,IMG_3300032306
13069,3300042154,TYMME2rr0732_FD
13070,3300014863,EasRivT25_16_10D_FD
13071,3300027099,MicForSoiBWH19_M_FD
13072,3300030413,IMG_3300030413
13073,3300055141,Fies34metagenome_3_FD
13074,3300043763,F25_FD
13075,3300000149,LinP2009P1610m_2_FD
13076,3300031942,GREbulkMGLF176_FD
13077,3300029147,IMG_3300029147
13078,3300037244,713CPN21DmetaG_FD
13079,2032320008,IMG_2032320008
13080,3300022224,IMG_3300022224
13081,3300025005,CryGey02umfilter_3_FD
13082,3300001803,IMG_3300001803
13083,3300026775,Shrwel1BS1Day122_FD
13084,3300044470,SB12450cmmetaG_FD
13085,3300029811,IMG_3300029811
13086,3300035182,RO12ediment_MG_3_FD
13087,3300009120,IMG_3300009120
13088,3300038598,IMG_3300038598
13089,3300028128,57DmetaG_FD
13090,3300026481,NI19A_FD
13091,3300040705,IMG_3300040705
13092,3300002616,NitcycUWRG07A412_FD
13093,3300017714,35SPOviralmetaG_FD
13094,3300038688,IMG_3300038688
13095,3300035212,TYMME2rr0066_FD
13096,3300021478,IncBWC7MmetaG_FD
13097,3300041962,IMG_3300041962
13098,3300033743,714E159metaG_FD
13099,3300052898,CP_C1_S1_FD
13100,3300025622,SaaInlV_DNA_150m_FD
13101,3300043154,PraResHLP_080817_FD
13102,3300044644,TYMME1rr0940_FD
13103,3300049915,NewNP2_57_FD
13104,3300005591,HubBroMetageREF1_FD
13105,3300046757,NewNP2_73_FD
13106,3300033999,M172_FD
13107,3300012938,IMG_3300012938
13108,3300028611,IMG_3300028611
13109,3300004870,IMG_3300004870
13110,3300011245,IMG_3300011245
13111,3300041403,E2_AmbCPA_FD
13112,3300004272,CryGeyCG2014_020_2_FD
13113,3300036418,CBST0metaG_FD
13114,3300018481,Popmic356T_FD
13115,3300035451,IMG_3300035451
13116,3300027927,IMG_3300027927
13117,3300040562,IMG_3300040562
13118,3300005699,IMG_3300005699
13119,3300027081,AOAMet2_C33A6_35_2_FD
13120,3300027690,MTBNYHSulfiMetaG_FD
13121,3300006985,IMG_3300006985
13122,3300014289,IMG_3300014289
13123,3300025793,Muzzi_PWB_D1_FD
13124,3300042789,IMG_3300042789
13125,3300061600,Jacob81metaG_FD
13126,3300003343,RifOxyD2_FD
13127,3300001844,IMG_3300001844
13128,3300037203,711P3SmetaG_FD
13129,3300027756,LauGreFaBDMM15DN_2_FD
13130,3300046822,BES847metagenome_9_FD
13131,3300013008,OSPB_Mat_host_9__FD
13132,3300007022,IMG_3300007022
13133,3300033981,TYMME2rr0011_FD
13134,3300045231,pH8ome_2_FD
13135,3300031629,EllFjometageno80_FD
13136,3300028065,CNK26_metaG_FD
13137,3300027580,PonA232FremontCA_2_FD
13138,3300042967,IMG_3300042967
13139,3300010389,IMG_3300010389
13140,3300031715,atmos_gasesECM2C_2_FD
13141,2081372013,IMG_2081372013
13142,3300044917,G05ome_7_FD
13143,3300064767,IMG_3300064767
13144,3300017465,IMG_3300017465
13145,3300043677,403ER18SCSDNA_FD
13146,3300005228,IMG_3300005228
13147,3300026499,NR06B_FD
13148,3300026152,IMG_3300026152
13149,3300040093,IMG_3300040093
13150,3300005589,tdDd472_FD
13151,3300031846,GRESIP171b2f19_FD
13152,3300004812,IMG_3300004812
13153,3300004210,CryGeyCG2114_010_2_FD
13154,3300007152,IMG_3300007152
13155,3300038845,IMG_3300038845
13156,3300005405,EPASupsiteHSE605_FD
13157,3300023102,UWRJS184509B5_FD
13158,3300022311,IMG_3300022311
13159,3300045698,OSSmetCOA4D_FD
13160,3300003860,FrelakmetPLP11PL_FD
13161,3300040351,IMG_3300040351
13162,3300038716,IMG_3300038716
13163,3300026022,SF_Rice_5C_80N_2_FD
13164,3300002788,NitcycUWRG09K212_FD
13165,3300002195,IMG_3300002195
13166,3300021066,S3_1013CmetaG_FD
13167,3300007545,Colrivmeta1547B3_FD
13168,3300039032,SNGV2P2_MG_FD
13169,3300025532,CryBogmetaGMA1M_FD
13170,3300028735,YNPCB0061_FD
13171,3300051440,JGIAldmW_SEK2_D5_FD
13172,3300040675,IMG_3300040675
13173,3300025490,Subbio2Dec_QV11A_FD
13174,3300001078,TexAe_RefH0_O2_FD
13175,3300050238,99_897_SD_DR_0cm_FD
13176,3300006081,IMG_3300006081
13177,3300047302,Yuk200metagenome_FD
13178,3300027985,IMG_3300027985
13179,3300031447,RickerHillsnord_FD
13180,3300026940,NitcycUWRG10A112_FD
13181,3300042903,YNPCB064metaG_FD
13182,3300044251,177ER18SCSDNA_FD
13183,3300025386,NGESurshal072012_5_FD
13184,3300006927,2_EtaG_FD
13185,3300020261,IMG_3300020261
13186,3300005974,HotLakmasection1_FD
13187,3300004180,LakWasMet10_HOW4_2_FD
13188,3300045229,G10ome_6_FD
13189,3300000101,DelMOsummeMay10_FD
13190,3300031631,EllFjometagen181_FD
13191,3300045588,NASome_130_FD
13192,3300060898,GUAM20compDNA1_FD
13193,3300029753,IMG_3300029753
13194,3300039206,IMG_3300039206
13195,3300001132,LuqExpMetageno10_FD
13196,3300057195,E20212015metaG_FD
13197,3300044667,OSSmetCSC3S_FD
13198,3300034092,TYMME0rr0069_FD
13199,3300000310,WetSurSiteA1Bulk_FD
13200,3300044773,eastriver_mg_177_FD
13201,3300040084,IMG_3300040084
13202,3300045805,G3R2BmetaG_FD
13203,3300040148,IMG_3300040148
13204,3300042462,TYMME1rd0039_FD
13205,3300019698,FRC_23_MG_FD
13206,3300039900,IMG_3300039900
13207,3300036819,CalMonMetagenome_FD
13208,2030936006,IMG_2030936006
13209,3300038314,IMG_3300038314
13210,3300043707,Rondonia_Forest__2_FD
13211,3300011438,EasRivERMGT500_2_FD
13212,3300055277,1000S_FTA3_DNA_T_FD
13213,3300031539,UN3MG_FD
13214,3300036356,C43Cmetagenome_FD
13215,3300026246,UppTroSEACRF8007_FD
13216,3300049011,A20ome_5_FD
13217,3300065516,IMG_3300065516
13218,3300008465,IMG_3300008465
13219,3300027422,NitcycUWRG09A110_FD
13220,3300010240,IMG_3300010240
13221,3300014638,PEATcosm2014_Bin_41_FD
13222,3300037559,JdFR13_34_FD
13223,3300049510,MC39metaG_FD
13224,3300037130,713CPN11DmetaG_FD
13225,3300002966,YelNatPaOPGAMG01_FD
13226,3300018022,June2016WEW_11_4_FD
13227,3300006354,ColStrG_CSR_2012_FD
13228,3300054049,IMG_3300054049
13229,3300060605,ORCAS_bact_20210_3_FD
13230,3300002137,IMG_3300002137
13231,3300044504,H3D5Smetagenome_FD
13232,3300050717,NSL_Border_2017__3_FD
13233,3300009050,Colrivmet1557A02_FD
13234,3300042944,IMG_3300042944
13235,3300026898,LuqExpMetageno79_FD
13236,3300020174,041ome_13_FD
13237,3300007775,SalPon2A_C_D2_MG_FD
13238,3300026846,SoimicmetaGmgHMA_FD
13239,3300014488,BulsoiFelSFmetaG_FD
13240,3300022668,IMG_3300022668
13241,3300053775,ER_ome_15_FD
13242,3300031152,15_S_MG_FD
13243,3300047299,ME0ome_FD
13244,3300039902,IMG_3300039902
13245,3300026715,NitcycUWRSCHO22A_FD
13246,3300039639,IMG_3300039639
13247,3300042460,TYMME2rr0439_FD
13248,3300031545,GRESIP166b4f26_FD
13249,3300001267,LakMenEpi31Aug10_FD
13250,3300059744,Colrivmeta1554B3_FD
13251,3300045205,pH8ome_11_FD
13252,3300050564,JGIAld_5_to_SEK1_FD
13253,3300064907,IMG_3300064907
