Analysis,ENA run,Sample
MGYA00136730,ERZ475191,ERS667481
MGYA00587028,ERZ2772618,ERS492376
MGYA00510739,ERZ859487,ERS1972390
MGYA00583232,ERZ1749235,ERS1972315
MGYA00585806,ERZ2438352,SRS2329702
MGYA00583333,ERZ1756903,ERS1972320
MGYA00238056,ERZ584639,SRS1593806
MGYA00248520,ERZ534146,SRS1593764
MGYA00593763,ERZ508532,SRS1589503
MGYA00367751,ERZ843936,ERS494332
MGYA00248521,ERZ534148,SRS1593764
MGYA00587062,ERZ2772565,ERS490120
MGYA00593316,ERZ4200972,SRS1528126
MGYA00004379,ERR700169,ERS627873
MGYA00521172,ERZ889427,ERS2026557
MGYA00238000,ERZ584587,SRS1593802
MGYA00238086,ERZ650342,SRS3060144
MGYA00593717,ERZ505224,SRS1589131
MGYA00521099,ERZ887942,ERS2026547
MGYA00590512,ERZ841497,ERS489727
MGYA00510765,ERZ859138,ERS1568998
MGYA00367633,ERZ841040,ERS492888
MGYA00248550,ERZ534010,SRS2911442
MGYA00136695,ERZ475209,ERS667502
MGYA00590544,ERZ840991,ERS493822
MGYA00520655,ERZ1034519,ERS2597650
MGYA00585803,ERZ2438526,SRS2329689
MGYA00151596,ERZ475211,ERS667506
MGYA00585828,ERZ2439383,SRS2329658
MGYA00367534,ERZ831056,ERS488649
MGYA00593713,ERZ505219,SRS1589010
MGYA00593264,ERZ4200992,SRS1528796
MGYA00510818,ERZ1756819,ERS1972352
MGYA00582490,ERZ1741306,ERS667533
MGYA00520857,ERZ1027294,DRS080324
MGYA00250095,ERZ650214,SRS2339539
MGYA00587102,ERZ2772631,ERS488867
MGYA00593359,ERZ4200963,SRS1528063
MGYA00592995,ERZ3422244,ERS1309369
MGYA00585837,ERZ2437780,SRS2329736
MGYA00583236,ERZ1749220,ERS1568980
MGYA00238029,ERZ584646,SRS1593806
MGYA00528216,ERZ481202,ERS916590
MGYA00510832,ERZ484606,ERS1972336
MGYA00589557,ERZ2944879,SRS581965
MGYA00375866,ERZ724572,SRS794574
MGYA00590543,ERZ840584,ERS492228
MGYA00345666,ERZ802853,ERS1871409
MGYA00136688,ERZ475232,ERS667535
MGYA00592939,ERZ3421837,ERS1309035
MGYA00367537,ERZ831446,ERS494394
MGYA00367540,ERZ832104,ERS491525
MGYA00590372,ERZ3820735,SRS1854602
MGYA00593337,ERZ4200914,SRS1525420
MGYA00375577,ERZ795125,SRS2681722
MGYA00237997,ERZ584613,SRS1593802
MGYA00580186,ERZ1673774,SRS1338839
MGYA00250092,ERZ650203,SRS2339535
MGYA00583216,ERZ1749285,ERS1972347
MGYA00367687,ERZ841662,ERS491095
MGYA00238006,ERZ584599,SRS1593802
MGYA00593357,ERZ4200969,SRS1528114
MGYA00004377,ERR700167,ERS627832
MGYA00593381,ERZ3904944,SRS7984751
MGYA00585849,ERZ2439084,SRS2329663
MGYA00151560,ERZ475203,ERS667492
MGYA00593005,ERZ3422088,ERS1307964
MGYA00592968,ERZ3421826,ERS1308744
MGYA00367520,ERZ829063,ERS478040
MGYA00237965,ERZ584543,SRS1593766
MGYA00375878,ERZ724584,SRS791682
MGYA00520546,ERZ1034513,ERS2597647
MGYA00151517,ERZ475137,ERS667588
MGYA00590375,ERZ3820732,SRS1424239
MGYA00582480,ERZ1741314,ERS667621
MGYA00582517,ERZ1741277,ERS667488
MGYA00248603,ERZ508645,SRS1593760
MGYA00583262,ERZ1749200,ERS1568988
MGYA00510663,ERZ1756847,ERS1568980
MGYA00367511,ERZ828940,ERS477979
MGYA00593366,ERZ4200964,SRS1528125
MGYA00248546,ERZ534186,SRS1593764
MGYA00582566,ERZ1741231,ERS667562
MGYA00581509,ERZ1699658,ERS4382428
MGYA00367544,ERZ833000,ERS492205
MGYA00593333,ERZ4200919,SRS1525431
MGYA00585787,ERZ2438759,SRS2329679
MGYA00590437,ERZ842091,ERS494208
MGYA00521195,ERZ888833,ERS2026558
MGYA00590491,ERZ842199,ERS493431
MGYA00593735,ERZ505261,SRS1589272
MGYA00582491,ERZ1741304,ERS667520
MGYA00520708,ERZ1034511,ERS2597646
MGYA00593225,ERZ842400,ERS494559
MGYA00589547,ERZ2945082,SRS837591
MGYA00510632,ERZ859421,ERS1972344
MGYA00375638,ERZ842729,ERS500138
MGYA00248547,ERZ534187,SRS1593764
MGYA00587042,ERZ2772507,ERS488613
MGYA00589048,ERZ838699,ERS489134
MGYA00151489,ERZ475251,ERS667558
MGYA00250112,ERZ650180,SRS1066680
MGYA00585843,ERZ2438579,SRS2329686
MGYA00237871,ERZ529316,SRS730401
MGYA00590462,ERZ841799,ERS491980
MGYA00004405,ERR700195,ERS627878
MGYA00590498,ERZ841457,ERS488799
MGYA00367657,ERZ841392,ERS492888
MGYA00582564,ERZ1741233,ERS667561
MGYA00510807,ERZ1756834,ERS1972411
MGYA00581733,ERZ1740072,SRS1401930
MGYA00581069,ERZ1669371,SRS1589165
MGYA00375696,ERZ795109,SRS2484915
MGYA00237814,ERZ508559,SRS2138933
MGYA00354811,ERZ841162,ERS2876948
MGYA00582447,ERZ1741356,ERS667662
MGYA00004382,ERR700172,ERS627845
MGYA00345673,ERZ802872,ERS1871441
MGYA00510706,ERZ1756906,ERS1972404
MGYA00510769,ERZ859101,ERS1568995
MGYA00582511,ERZ1741283,ERS667564
MGYA00367631,ERZ841010,ERS491421
MGYA00521005,ERZ891232,ERS2026635
MGYA00151582,ERZ475164,ERS667621
MGYA00151504,ERZ475197,ERS667486
MGYA00590672,ERZ3792522,ERS4023179
MGYA00250086,ERZ650204,SRS2339530
MGYA00592945,ERZ3421842,ERS1309560
MGYA00586698,ERZ2098924,ERS5917435
MGYA00136613,ERZ475168,ERS667627
MGYA00583264,ERZ1749187,ERS1972390
MGYA00585788,ERZ2438717,SRS2329680
MGYA00593255,ERZ4200988,SRS1528209
MGYA00593750,ERZ505295,SRS1589397
MGYA00582460,ERZ1741341,ERS667491
MGYA00581735,ERZ1740068,SRS1401931
MGYA00583305,ERZ1748923,ERS1972414
MGYA00510711,ERZ1756811,ERS1972407
MGYA00564021,ERZ1303541,ERS4366693
MGYA00594122,ERZ1744546,SRS1971321
MGYA00248455,ERZ584570,SRS1593800
MGYA00593278,ERZ4200978,SRS1528205
MGYA00151566,ERZ475247,ERS667554
MGYA00510654,ERZ859336,ERS1568967
MGYA00367557,ERZ834839,ERS493670
MGYA00582514,ERZ1741280,ERS667664
MGYA00587076,ERZ2772622,ERS491955
MGYA00585826,ERZ2437839,SRS2329734
MGYA00589036,ERZ841558,ERS491874
MGYA00367574,ERZ837885,ERS492012
MGYA00375884,ERZ724590,SRS791740
MGYA00238044,ERZ584634,SRS1593806
MGYA00594151,ERZ1284142,SRS4558642
MGYA00593780,ERZ3906615,SRS2139196
MGYA00589019,ERZ842127,ERS490265
MGYA00248537,ERZ534177,SRS1593764
MGYA00582556,ERZ1741241,ERS667549
MGYA00248938,ERZ651133,SRS1593757
MGYA00248501,ERZ534224,SRS1593799
MGYA00367600,ERZ840547,ERS492680
MGYA00367720,ERZ841987,ERS492926
MGYA00583260,ERZ1749211,ERS1568985
MGYA00248448,ERZ584579,SRS1593800
MGYA00520975,ERZ1022803,SRS3540834
MGYA00593014,ERZ3421874,ERS1309687
MGYA00593254,ERZ4200998,SRS1525448
MGYA00585805,ERZ2438431,SRS2329697
MGYA00583334,ERZ1756883,ERS1972356
MGYA00345678,ERZ806361,ERS1871376
MGYA00583180,ERZ1749170,ERS1972404
MGYA00510834,ERZ484600,ERS1972391
MGYA00249087,ERZ650327,SRS1593761
MGYA00593269,ERZ4201023,SRS1525487
MGYA00589064,ERZ1756863,ERS1176151
MGYA00132145,ERZ405283,ERS1617558
MGYA00587013,ERZ2772620,ERS489729
MGYA00237958,ERZ584529,SRS1593766
MGYA00583206,ERZ1749091,ERS1972342
MGYA00375635,ERZ842531,ERS500083
MGYA00238046,ERZ584617,SRS1593806
MGYA00520653,ERZ1034564,ERS2597668
MGYA00583270,ERZ1749132,ERS1972333
MGYA00151511,ERZ475141,ERS667593
MGYA00248491,ERZ534214,SRS1593799
MGYA00520542,ERZ1034567,ERS2597669
MGYA00587020,ERZ2772506,ERS490142
MGYA00004388,ERR700178,ERS627867
MGYA00589556,ERZ2945017,SRS837379
MGYA00151541,ERZ475134,ERS667583
MGYA00237806,ERZ508548,SRS1899658
MGYA00345674,ERZ802873,ERS1871443
MGYA00583214,ERZ1749292,ERS1972368
MGYA00250103,ERZ650189,SRS1254555
MGYA00592935,ERZ3421846,ERS1309397
MGYA00250090,ERZ650210,SRS2339528
MGYA00151482,ERZ475193,ERS667650
MGYA00580153,ERZ1673809,SRS1338817
MGYA00151538,ERZ475194,ERS667483
MGYA00580145,ERZ1673762,SRS1338792
MGYA00583257,ERZ1749020,ERS1972369
MGYA00581751,ERZ1740051,SRS1401926
MGYA00510640,ERZ859502,ERS1972399
MGYA00521286,ERZ888219,ERS2026551
MGYA00583279,ERZ1749159,ERS1972357
MGYA00454601,ERZ1284728,ERS3757523
MGYA00589071,ERZ1756881,ERS1568979
MGYA00367526,ERZ829801,ERS488830
MGYA00582535,ERZ1741253,ERS667580
MGYA00583282,ERZ1749003,ERS1972405
MGYA00238023,ERZ584614,SRS1593802
MGYA00589056,ERZ829053,ERS478017
MGYA00593708,ERZ505209,SRS1589003
MGYA00590374,ERZ3820733,SRS1424241
MGYA00590545,ERZ840605,ERS490373
MGYA00521111,ERZ813239,DRS049202
MGYA00593425,ERZ832643,ERS494236
MGYA00238106,ERZ650649,SRS1593877
MGYA00367590,ERZ839733,ERS490002
MGYA00367655,ERZ841381,ERS492863
MGYA00375864,ERZ724570,SRS794643
MGYA00248514,ERZ534163,SRS1593764
MGYA00583313,ERZ859068,ERS1176148
MGYA00248511,ERZ534157,SRS1593764
MGYA00139959,ERZ1756884,ERS1568963
MGYA00589542,ERZ2944730,SRS837532
MGYA00510709,ERZ484675,ERS1972423
MGYA00237778,ERZ508506,SRS1989002
MGYA00593349,ERZ4200896,SRS1525403
MGYA00521267,ERZ887849,ERS2026543
MGYA00590553,ERZ840834,ERS489236
MGYA00582523,ERZ1741269,ERS667528
MGYA00582501,ERZ1741293,ERS667555
MGYA00136680,ERZ475135,ERS667585
MGYA00367649,ERZ841315,ERS492680
MGYA00592924,ERZ3422215,ERS1309171
MGYA00590684,ERZ3792531,ERS4023178
MGYA00520945,ERZ1022766,SRS3499076
MGYA00593356,ERZ4200971,SRS1528127
MGYA00583275,ERZ1749102,ERS1972314
MGYA00367721,ERZ842008,ERS492778
MGYA00510728,ERZ1756892,ERS1972387
MGYA00587075,ERZ2772489,ERS488892
MGYA00136729,ERZ475183,ERS667646
MGYA00580181,ERZ1673757,SRS1338832
MGYA00345672,ERZ802870,ERS1871427
MGYA00593324,ERZ4200937,SRS1525897
MGYA00248533,ERZ534172,SRS1593764
MGYA00581513,ERZ1699660,ERS4382422
MGYA00587086,ERZ2772590,ERS492035
MGYA00583254,ERZ1749033,ERS1972346
MGYA00582452,ERZ1741351,ERS667642
MGYA00593737,ERZ505265,SRS1589276
MGYA00248494,ERZ534217,SRS1593799
MGYA00151495,ERZ475234,ERS667536
MGYA00367713,ERZ841954,ERS490373
MGYA00581505,ERZ1699649,ERS4382420
MGYA00587034,ERZ2772581,ERS493684
MGYA00151584,ERZ475218,ERS667652
MGYA00593307,ERZ4201008,SRS1525463
MGYA00590838,ERZ2610340,ERS5835132
MGYA00582557,ERZ1741240,ERS667557
MGYA00367752,ERZ843989,ERS494518
MGYA00581749,ERZ1740053,SRS1401930
MGYA00237993,ERZ584605,SRS1593802
MGYA00580142,ERZ1673768,SRS1338853
MGYA00587097,ERZ2772504,ERS488892
MGYA00585840,ERZ2437540,SRS2329747
MGYA00593138,ERZ828944,ERS477998
MGYA00587029,ERZ2772616,ERS490648
MGYA00248555,ERZ529325,SRS1490878
MGYA00237975,ERZ584526,SRS1593766
MGYA00590567,ERZ841462,ERS491095
MGYA00580134,ERZ1673782,SRS1338815
MGYA00520681,ERZ1034515,ERS2597648
MGYA00345658,ERZ802836,ERS1871398
MGYA00238017,ERZ584602,SRS1593802
MGYA00593330,ERZ4200922,SRS1525433
MGYA00583182,ERZ1749165,ERS1972340
MGYA00454602,ERZ1284729,ERS3757522
MGYA00520902,ERZ1022756,SRS3499080
MGYA00248719,ERZ505368,SRS1967627
MGYA00345659,ERZ802838,ERS1871401
MGYA00367512,ERZ828944,ERS477998
MGYA00367729,ERZ842087,ERS490327
MGYA00367576,ERZ838294,ERS490885
MGYA00520721,ERZ1030316,SRS2364789
MGYA00580184,ERZ1673797,SRS1338811
MGYA00593231,ERZ4201018,SRS1525477
MGYA00248554,ERZ529323,SRS1490777
MGYA00004354,ERR700144,ERS627828
MGYA00583341,ERZ484635,ERS1972308
MGYA00590689,ERZ3792521,ERS4023181
MGYA00510833,ERZ1756835,ERS1972313
MGYA00151545,ERZ475249,ERS667556
MGYA00581506,ERZ1699647,ERS4382422
MGYA00151530,ERZ475183,ERS667646
MGYA00581741,ERZ1740062,SRS1401925
MGYA00583300,ERZ1748936,ERS1972365
MGYA00004384,ERR700174,ERS627844
MGYA00136630,ERZ475254,ERS667561
MGYA00592983,ERZ3421580,ERS1308472
MGYA00248781,ERZ505116,SRS606712
MGYA00582439,ERZ1741363,ERS667620
MGYA00587055,ERZ2772629,ERS489724
MGYA00592985,ERZ3421563,ERS1309308
MGYA00590846,ERZ2610352,ERS5835118
MGYA00583255,ERZ1749028,ERS1568976
MGYA00345649,ERZ802822,ERS1871377
MGYA00593256,ERZ4201007,SRS1525457
MGYA00520979,ERZ1022727,SRS3499106
MGYA00004373,ERR700163,ERS627850
MGYA00510714,ERZ1756849,ERS1972410
MGYA00238075,ERZ650158,ERS1869129
MGYA00593142,ERZ2945023,SRS836773
MGYA00593710,ERZ505213,SRS1589007
MGYA00248518,ERZ534171,SRS1593764
MGYA00375859,ERZ724565,SRS794575
MGYA00587831,ERZ2944601,SRS1776181
MGYA00510835,ERZ484599,ERS1972370
MGYA00367522,ERZ829075,ERS494616
MGYA00367535,ERZ831144,ERS490065
MGYA00540115,ERZ1756899,ERS1176157
MGYA00583253,ERZ1749035,ERS1176151
MGYA00248571,ERZ508615,SRS1593760
MGYA00582440,ERZ1741361,ERS667652
MGYA00528215,ERZ481201,ERS916589
MGYA00248615,ERZ508603,SRS2617819
MGYA00593358,ERZ4200968,SRS1528121
MGYA00375883,ERZ724589,SRS791740
MGYA00580120,ERZ1673964,ERS223619
MGYA00367691,ERZ841738,ERS493705
MGYA00521044,ERZ887847,ERS2026542
MGYA00589035,ERZ841982,ERS488569
MGYA00590510,ERZ841176,ERS489087
MGYA00136698,ERZ475243,ERS667550
MGYA00250110,ERZ650192,SRS1254556
MGYA00248930,ERZ651150,SRS1593757
