Analysis,ENA run,Sample
MGYA00593019,ERZ830535,ERS487899
MGYA00593751,ERZ508523,SRS1589398
MGYA00589540,ERZ2944945,SRS1776492
MGYA00587106,ERZ2772602,ERS488959
MGYA00590500,ERZ841480,ERS488849
MGYA00250101,ERZ650185,SRS1254543
MGYA00520899,ERZ1022799,SRS3540800
MGYA00590530,ERZ842953,ERS492357
MGYA00582473,ERZ1741330,ERS667604
MGYA00589072,ERZ1756851,ERS1568966
MGYA00587805,ERZ2944988,SRS584255
MGYA00367552,ERZ833884,ERS491913
MGYA00510684,ERZ859416,ERS1972342
MGYA00540105,ERZ859382,ERS1972328
MGYA00540104,ERZ869947,ERS1176156
MGYA00367688,ERZ841695,ERS490714
MGYA00367606,ERZ840584,ERS492228
MGYA00250082,ERZ650217,SRS2339553
MGYA00590518,ERZ841001,ERS488769
MGYA00581511,ERZ1699651,ERS4382422
MGYA00520974,ERZ1022808,SRS3540797
MGYA00248543,ERZ534183,SRS1593764
MGYA00345687,ERZ806371,ERS1871422
MGYA00521023,ERZ807356,SRS976590
MGYA00096440,ERZ376968,ERS1507287
MGYA00582560,ERZ1741237,ERS667540
MGYA00151550,ERZ475155,ERS667606
MGYA00587025,ERZ2772628,ERS491995
MGYA00367592,ERZ840032,ERS490002
MGYA00248945,ERZ651147,SRS1593757
MGYA00590465,ERZ841349,ERS493788
MGYA00510839,ERZ1756817,ERS1972345
MGYA00249083,ERZ650319,SRS1593761
MGYA00592917,ERZ3422319,ERS1309881
MGYA00248468,ERZ534191,SRS1593799
MGYA00520567,ERZ1033711,SRS1616301
MGYA00593116,ERZ838294,ERS490885
MGYA00237957,ERZ584527,SRS1593766
MGYA00581755,ERZ1740049,SRS1401927
MGYA00585844,ERZ2438473,SRS2329698
MGYA00248471,ERZ534194,SRS1593799
MGYA00238112,ERZ650660,SRS1593877
MGYA00583323,ERZ1756823,ERS1972406
MGYA00248576,ERZ508625,SRS1593760
MGYA00594180,ERZ2680843,SRS3759254
MGYA00510753,ERZ859410,ERS1972340
MGYA00367612,ERZ840834,ERS489236
MGYA00367549,ERZ833507,ERS489074
MGYA00521091,ERZ1022724,SRS3499105
MGYA00590368,ERZ3820741,SRS1854606
MGYA00510713,ERZ484659,ERS1972416
MGYA00583213,ERZ1749302,ERS1972353
MGYA00582520,ERZ1741273,ERS667588
MGYA00151467,ERZ475173,ERS667632
MGYA00510678,ERZ859516,ERS1972406
MGYA00367516,ERZ829053,ERS478017
MGYA00248517,ERZ534169,SRS1593764
MGYA00582538,ERZ1741247,ERS667484
MGYA00510755,ERZ859392,ERS1972331
MGYA00237995,ERZ584609,SRS1593802
MGYA00237999,ERZ584585,SRS1593802
MGYA00594179,ERZ2606007,SRS4067122
MGYA00590468,ERZ841820,ERS490327
MGYA00587045,ERZ2772571,ERS492160
MGYA00590470,ERZ841795,ERS490230
MGYA00593219,ERZ833000,ERS492205
MGYA00594115,ERZ1742239,SRS3033588
MGYA00521134,ERZ813241,DRS049203
MGYA00582547,ERZ1741254,ERS667534
MGYA00580133,ERZ1673783,SRS1338814
MGYA00590528,ERZ835863,ERS488330
MGYA00590836,ERZ2610360,ERS5835135
MGYA00587061,ERZ2772569,ERS490388
MGYA00587008,ERZ2772564,ERS492903
MGYA00520642,ERZ1034547,ERS2597661
MGYA00583071,ERZ1758308,SRS1386497
MGYA00587112,ERZ2772549,ERS488558
MGYA00582475,ERZ1741328,ERS667485
MGYA00583325,ERZ484643,ERS1972364
MGYA00585830,ERZ2439304,SRS2329659
MGYA00237855,ERZ510999,SRS1464834
MGYA00367730,ERZ842091,ERS494208
MGYA00593009,ERZ3422065,ERS1308938
MGYA00582436,ERZ1741345,ERS667657
MGYA00367568,ERZ836445,ERS490633
MGYA00586696,ERZ2098914,ERS5917452
MGYA00520712,ERZ1034541,ERS2597659
MGYA00593118,ERZ836051,ERS490183
MGYA00367667,ERZ841449,ERS490691
MGYA00375578,ERZ795126,SRS2681721
MGYA00250111,ERZ650178,SRS1066702
MGYA00238069,ERZ650153,ERS1869127
MGYA00587094,ERZ2772539,ERS489943
MGYA00367614,ERZ840839,ERS494274
MGYA00590511,ERZ841154,ERS489043
MGYA00582470,ERZ1741334,ERS667644
MGYA00580137,ERZ1673778,SRS1338800
MGYA00583324,ERZ1756866,ERS1972332
MGYA00590463,ERZ841645,ERS492145
MGYA00367683,ERZ841638,ERS492778
MGYA00510715,ERZ1756844,ERS1972328
MGYA00375704,ERZ795117,SRS2484919
MGYA00367679,ERZ841558,ERS491874
MGYA00582463,ERZ1741338,ERS667640
MGYA00345680,ERZ806363,ERS1871384
MGYA00580143,ERZ1673766,SRS1338822
MGYA00580119,ERZ1673836,SRS4517417
MGYA00589062,ERZ829063,ERS478040
MGYA00248541,ERZ534181,SRS1593764
MGYA00592906,ERZ3895195,SRS9494345
MGYA00575354,ERZ1645192,SRS4600533
MGYA00586699,ERZ2098920,ERS5917445
MGYA00004362,ERR700152,ERS627853
MGYA00136654,ERZ475136,ERS667586
MGYA00004398,ERR700188,ERS627839
MGYA00586700,ERZ2098918,ERS5917439
MGYA00345668,ERZ802859,ERS1871412
MGYA00581072,ERZ1669415,DRS082842
MGYA00151537,ERZ475222,ERS667520
MGYA00590490,ERZ833197,ERS490002
MGYA00521090,ERZ1022748,SRS3499083
MGYA00248523,ERZ534152,SRS1593764
MGYA00237853,ERZ510998,SRS1464836
MGYA00367575,ERZ838136,ERS491110
MGYA00084353,ERZ350235,ERS1374536
MGYA00585785,ERZ2438832,SRS2329675
MGYA00590369,ERZ3820739,SRS1854607
MGYA00589022,ERZ844199,ERS494445
MGYA00589028,ERZ842013,ERS490714
MGYA00367719,ERZ841982,ERS488569
MGYA00520977,ERZ1022758,SRS3499079
MGYA00367666,ERZ841439,ERS493981
MGYA00151465,ERZ475145,ERS667596
MGYA00585773,ERZ2438864,SRS2329673
MGYA00367726,ERZ842064,ERS493877
MGYA00345695,ERZ806379,ERS1996200
MGYA00520682,ERZ1034509,ERS2597645
MGYA00367661,ERZ841410,ERS487936
MGYA00151563,ERZ475230,ERS667533
MGYA00583335,ERZ1756832,ERS1568971
MGYA00587023,ERZ2772634,ERS488253
MGYA00520906,ERZ891376,ERS2026637
MGYA00587095,ERZ2772522,ERS492198
MGYA00585775,ERZ2439921,SRS2329639
MGYA00136746,ERZ475246,ERS667553
MGYA00589551,ERZ2945105,SRS1776517
MGYA00593281,ERZ4200973,SRS1528159
MGYA00587049,ERZ2772514,ERS488673
MGYA00582519,ERZ1741274,ERS667668
MGYA00151579,ERZ475139,ERS667591
MGYA00151570,ERZ475260,ERS667668
MGYA00510760,ERZ859324,ERS1568987
MGYA00581501,ERZ1699655,ERS4382422
MGYA00510645,ERZ859452,ERS1972364
MGYA00587796,ERZ2944582,SRS584254
MGYA00589545,ERZ2945131,SRS1872835
MGYA00367543,ERZ832923,ERS489917
MGYA00139965,ERZ1756837,ERS1568982
MGYA00592991,ERZ3422296,ERS1309764
MGYA00593252,ERZ4201014,SRS1525475
MGYA00590480,ERZ841657,ERS492888
MGYA00248482,ERZ534205,SRS1593799
MGYA00367696,ERZ841799,ERS491980
MGYA00581497,ERZ1694524,ERS1030530
MGYA00367675,ERZ841480,ERS488849
MGYA00248592,ERZ508628,SRS1593760
MGYA00583280,ERZ1749156,ERS1972350
MGYA00367583,ERZ839095,ERS489585
MGYA00590690,ERZ3792520,ERS4023163
MGYA00248539,ERZ534179,SRS1593764
MGYA00248503,ERZ534226,SRS1593799
MGYA00589030,ERZ829055,ERS478040
MGYA00585839,ERZ2437646,SRS2329741
MGYA00248498,ERZ534221,SRS1593799
MGYA00593112,ERZ834397,ERS490433
MGYA00592936,ERZ3421845,ERS1309881
MGYA00136736,ERZ475201,ERS667491
MGYA00590367,ERZ3820744,SRS1424238
MGYA00249076,ERZ650326,SRS1593761
MGYA00592992,ERZ3422254,ERS1308390
MGYA00004372,ERR700162,ERS627830
MGYA00521009,ERZ887841,ERS2026539
MGYA00583241,ERZ1749092,ERS1972412
MGYA00237779,ERZ508509,SRS2617814
MGYA00593239,ERZ4201028,SRS1525484
MGYA00248593,ERZ508630,SRS1593760
MGYA00587825,ERZ2944877,SRS837381
MGYA00594153,ERZ1284143,SRS4558646
MGYA00238101,ERZ650659,SRS1593877
MGYA00589044,ERZ840877,ERS493822
MGYA00238038,ERZ584622,SRS1593806
MGYA00583310,ERZ859430,ERS1972348
MGYA00375702,ERZ795115,SRS2484923
MGYA00237982,ERZ584540,SRS1593766
MGYA00593361,ERZ4200961,SRS1528067
MGYA00345654,ERZ802830,ERS1871393
MGYA00367605,ERZ840577,ERS493044
MGYA00585786,ERZ2438817,SRS2329677
MGYA00136675,ERZ475208,ERS667499
MGYA00592977,ERZ3421822,ERS1309221
MGYA00592941,ERZ3421836,ERS1309809
MGYA00250108,ERZ650188,SRS1254545
MGYA00248725,ERZ505367,SRS1967626
MGYA00151516,ERZ475161,ERS667662
MGYA00367709,ERZ841911,ERS488916
MGYA00136666,ERZ475148,ERS667599
MGYA00510624,ERZ859510,ERS1972404
MGYA00367637,ERZ841132,ERS493670
MGYA00151588,ERZ475238,ERS667541
MGYA00367724,ERZ842040,ERS492733
MGYA00136747,ERZ475137,ERS667588
MGYA00583256,ERZ1749023,ERS1972364
MGYA00590843,ERZ2610365,ERS5835126
MGYA00593675,ERZ1292617,ERS4277058
MGYA00136751,ERZ475169,ERS667664
MGYA00151519,ERZ475124,ERS667572
MGYA00151589,ERZ475144,ERS667595
MGYA00520641,ERZ1034573,ERS2597672
MGYA00593353,ERZ4200907,SRS1525421
MGYA00593334,ERZ4200918,SRS1525430
MGYA00583261,ERZ1749203,ERS1568972
MGYA00590364,ERZ3820724,ERS2285883
MGYA00510741,ERZ859474,ERS1972376
MGYA00238032,ERZ584652,SRS1593806
MGYA00540110,ERZ859333,ERS1568968
MGYA00585821,ERZ2437751,SRS2329737
MGYA00367554,ERZ834050,ERS494170
MGYA00593234,ERZ4201030,SRS1525495
MGYA00151469,ERZ475255,ERS667562
MGYA00004396,ERR700186,ERS627863
MGYA00237875,ERZ529327,SRS1557874
MGYA00248787,ERZ505128,SRS605294
MGYA00593346,ERZ4200900,SRS1525404
MGYA00151592,ERZ475225,ERS667523
MGYA00367660,ERZ841404,ERS488509
MGYA00510658,ERZ859114,ERS1569007
MGYA00589555,ERZ2944878,SRS1776201
MGYA00345670,ERZ802864,ERS1871417
MGYA00250099,ERZ650198,SRS2339536
MGYA00004356,ERR700146,ERS627848
MGYA00583315,ERZ1748937,ERS1972337
MGYA00084347,ERZ324937,ERS1258237
MGYA00593736,ERZ505262,SRS1589273
MGYA00582528,ERZ1741264,ERS667494
MGYA00510669,ERZ1756820,ERS1972403
MGYA00582456,ERZ1741347,ERS667608
MGYA00084355,ERZ350233,ERS1374536
MGYA00593295,ERZ4200935,SRS1525902
MGYA00510743,ERZ859463,ERS1972371
MGYA00367632,ERZ841028,ERS492177
MGYA00367694,ERZ841748,ERS489134
MGYA00510672,ERZ1756901,ERS1972383
MGYA00071195,ERZ291367,ERS1118336
MGYA00510683,ERZ859434,ERS1972350
MGYA00593226,ERZ841436,ERS493670
MGYA00248515,ERZ534165,SRS1593764
MGYA00593721,ERZ505230,SRS1589179
MGYA00580148,ERZ1673814,SRS1338830
MGYA00248928,ERZ651146,SRS1593757
MGYA00580169,ERZ1673789,SRS1338854
MGYA00587071,ERZ2772518,ERS491107
MGYA00136665,ERZ475174,ERS667634
MGYA00593745,ERZ505281,SRS1589380
MGYA00367566,ERZ836272,ERS492778
MGYA00237872,ERZ529318,SRS730400
MGYA00589061,ERZ842135,ERS491044
MGYA00593244,ERZ4201033,SRS1525504
MGYA00593272,ERZ4200995,SRS1529109
MGYA00375567,ERZ781407,SRS2797666
MGYA00582453,ERZ1741350,ERS667667
MGYA00581514,ERZ1699656,ERS4382422
MGYA00510770,ERZ859082,ERS1176152
MGYA00593733,ERZ505257,SRS1589262
MGYA00367624,ERZ840938,ERS489712
MGYA00582466,ERZ1741323,ERS667507
MGYA00238055,ERZ584636,SRS1593806
MGYA00345684,ERZ806367,ERS1871411
MGYA00136676,ERZ475196,ERS667485
MGYA00585808,ERZ2438394,SRS2329699
MGYA00248534,ERZ534174,SRS1593764
MGYA00510734,ERZ859535,ERS1972414
MGYA00589552,ERZ2944985,SRS1776416
MGYA00151484,ERZ475233,ERS667655
MGYA00367728,ERZ842085,ERS489987
MGYA00136732,ERZ475151,ERS667601
MGYA00587079,ERZ2772551,ERS490204
MGYA00582476,ERZ1741331,ERS667630
MGYA00585836,ERZ2437944,SRS2329733
MGYA00593214,ERZ834897,ERS492863
MGYA00250116,ERZ650181,SRS1078666
MGYA00583306,ERZ1748921,ERS1972376
MGYA00592967,ERZ3421541,ERS1309642
MGYA00583210,ERZ1749008,ERS1568978
MGYA00582499,ERZ1741296,ERS667586
MGYA00248486,ERZ534209,SRS1593799
MGYA00237882,ERZ534229,SRS2139711
MGYA00593287,ERZ4200931,SRS1525447
MGYA00590695,ERZ3792509,ERS4023160
MGYA00237974,ERZ584522,SRS1593766
MGYA00587773,ERZ2772483,ERS491955
MGYA00583327,ERZ484629,ERS1972379
MGYA00367617,ERZ840860,ERS491492
MGYA00582434,ERZ1741313,ERS667645
MGYA00590691,ERZ3792516,ERS4023174
MGYA00367669,ERZ841459,ERS490296
MGYA00510637,ERZ859538,ERS1972415
MGYA00084354,ERZ350234,ERS1374536
MGYA00583233,ERZ1749230,ERS1972408
MGYA00582937,ERZ1741275,ERS667577
MGYA00583304,ERZ1748927,ERS1569005
MGYA00151548,ERZ475189,ERS667479
MGYA00354805,ERZ841119,ERS2876942
MGYA00590849,ERZ2610345,ERS5835109
MGYA00592975,ERZ3421795,ERS1309450
MGYA00583339,ERZ1756841,ERS1972430
MGYA00248447,ERZ584577,SRS1593800
MGYA00587815,ERZ2944771,SRS581964
MGYA00354812,ERZ841172,ERS2876949
MGYA00136707,ERZ475215,ERS667514
MGYA00587051,ERZ2772525,ERS488518
MGYA00589034,ERZ841980,ERS490633
MGYA00521193,ERZ890250,ERS2026563
MGYA00587053,ERZ2772646,ERS490704
MGYA00238042,ERZ584630,SRS1593806
MGYA00367737,ERZ842127,ERS490265
MGYA00345690,ERZ806374,ERS1871430
MGYA00510652,ERZ859360,ERS1972312
MGYA00238003,ERZ584593,SRS1593802
MGYA00589559,ERZ2944724,SRS565748
MGYA00592969,ERZ3421834,ERS1309264
MGYA00587030,ERZ2772607,ERS489867
MGYA00582451,ERZ1741352,ERS667609
MGYA00136701,ERZ475216,ERS667515
MGYA00575348,ERZ1645191,SRS4592439
MGYA00139960,ERZ1756832,ERS1568971
MGYA00585846,ERZ2439613,SRS2329649
MGYA00594111,ERZ4537018,ERS6153778
MGYA00248927,ERZ651144,SRS1593757
MGYA00590514,ERZ841379,ERS489917
MGYA00367604,ERZ840571,ERS488936
MGYA00590860,ERZ2610350,ERS5835140
MGYA00585851,ERZ2437588,SRS2329743
MGYA00590681,ERZ3792511,ERS4023167
MGYA00590565,ERZ840530,ERS488769
MGYA00593759,ERZ508529,SRS1589494
MGYA00248947,ERZ651151,SRS1593757
MGYA00510802,ERZ484666,ERS1972438
MGYA00581743,ERZ1740060,SRS1401935
MGYA00583311,ERZ859082,ERS1176152
MGYA00248549,ERZ534008,SRS2911441
MGYA00248612,ERZ508653,SRS1593760
MGYA00583317,ERZ1756863,ERS1176151
MGYA00345694,ERZ806378,ERS1996199
MGYA00510699,ERZ859428,ERS1972347
MGYA00583288,ERZ1748983,ERS1972432
MGYA00593715,ERZ505222,SRS1589012
MGYA00583318,ERZ1756850,ERS1568973
MGYA00583322,ERZ1756841,ERS1972430
MGYA00136725,ERZ475217,ERS667653
MGYA00590574,ERZ830098,ERS492408
MGYA00238072,ERZ650159,ERS1869125
MGYA00151601,ERZ475213,ERS667511
MGYA00581512,ERZ1699650,ERS4382429
MGYA00250117,ERZ650183,SRS1066273
MGYA00248496,ERZ534219,SRS1593799
MGYA00510651,ERZ859373,ERS1972319
MGYA00151475,ERZ475241,ERS667548
MGYA00593274,ERZ4200986,SRS1528210
MGYA00593308,ERZ4201003,SRS1525455
MGYA00590557,ERZ840587,ERS490597
MGYA00520566,ERZ1034507,ERS2597644
MGYA00136637,ERZ475128,ERS667576
MGYA00248557,ERZ529324,SRS1490791
MGYA00593326,ERZ4200932,SRS1525892
MGYA00510679,ERZ859499,ERS1972398
MGYA00367659,ERZ841401,ERS491699
MGYA00590436,ERZ843936,ERS494332
MGYA00592966,ERZ3421828,ERS1309264
MGYA00510827,ERZ1756897,ERS1972339
MGYA00590540,ERZ840938,ERS489712
MGYA00582496,ERZ1741298,ERS667573
MGYA00593294,ERZ4200950,SRS1527919
MGYA00248594,ERZ508632,SRS1593760
MGYA00583243,ERZ1749072,ERS1568963
MGYA00249074,ERZ650322,SRS1593761
MGYA00590509,ERZ841319,ERS492863
MGYA00151593,ERZ475239,ERS667543
MGYA00248760,ERZ505202,SRS1577350
MGYA00587018,ERZ2772586,ERS492797
MGYA00248443,ERZ584569,SRS1593800
MGYA00136689,ERZ475204,ERS667494
MGYA00237961,ERZ584535,SRS1593766
MGYA00248506,ERZ534147,SRS1593764
MGYA00582531,ERZ1741260,ERS667649
MGYA00248457,ERZ584574,SRS1593800
MGYA00582548,ERZ1741252,ERS667532
MGYA00520709,ERZ1034499,ERS2597639
MGYA00590488,ERZ833507,ERS489074
MGYA00238040,ERZ584626,SRS1593806
MGYA00238021,ERZ584610,SRS1593802
MGYA00367710,ERZ841929,ERS490029
MGYA00587043,ERZ2772556,ERS490953
MGYA00585812,ERZ2438315,SRS2329706
MGYA00345652,ERZ802827,ERS1871390
MGYA00581059,ERZ1691585,ERS4846751
MGYA00520680,ERZ1034532,ERS2597655
MGYA00580135,ERZ1673781,SRS1338838
MGYA00520647,ERZ1034484,ERS2597632
MGYA00593352,ERZ4200939,SRS1525441
MGYA00580155,ERZ1673806,SRS1338846
MGYA00151565,ERZ475179,ERS667642
MGYA00510759,ERZ859341,ERS1568966
MGYA00582468,ERZ1741305,ERS667480
MGYA00593223,ERZ840367,ERS493914
MGYA00593135,ERZ829065,ERS491938
MGYA00136742,ERZ475140,ERS667592
MGYA00237983,ERZ584542,SRS1593766
MGYA00593677,ERZ1292619,ERS4277066
MGYA00587096,ERZ2772510,ERS490452
MGYA00151555,ERZ475226,ERS667526
MGYA00136653,ERZ475150,ERS667660
MGYA00580185,ERZ1673755,SRS1338824
MGYA00585630,ERZ2484260,SRS468465
MGYA00367653,ERZ841349,ERS493788
MGYA00583329,ERZ1756908,ERS1972315
MGYA00585794,ERZ2439444,SRS2329657
MGYA00151590,ERZ475180,ERS667643
MGYA00520900,ERZ1022779,SRS3499058
MGYA00248530,ERZ534166,SRS1593764
MGYA00510676,ERZ859547,ERS1972430
MGYA00151462,ERZ475132,ERS667580
MGYA00581515,ERZ1699646,ERS4382422
MGYA00540113,ERZ859132,ERS1568999
MGYA00593776,ERZ3823192,SRS2139190
MGYA00151562,ERZ475175,ERS667638
MGYA00589043,ERZ840934,ERS490296
MGYA00593221,ERZ835625,ERS492642
MGYA00589018,ERZ829801,ERS488830
MGYA00582544,ERZ1741262,ERS667479
MGYA00510666,ERZ1756888,ERS1568965
MGYA00510634,ERZ484618,ERS1972362
MGYA00237849,ERZ508657,SRS2138912
MGYA00151553,ERZ475167,ERS667625
MGYA00514415,ERZ808847,SRS1432720
MGYA00510725,ERZ484602,ERS1972335
MGYA00136692,ERZ475180,ERS667643
MGYA00136632,ERZ475229,ERS667532
MGYA00585207,ERZ1033711,SRS1616301
MGYA00510667,ERZ484688,ERS1569009
MGYA00345692,ERZ806376,ERS1871460
MGYA00520916,ERZ887834,ERS2026536
MGYA00151471,ERZ475169,ERS667664
MGYA00136723,ERZ475220,ERS667518
MGYA00510798,ERZ1756904,ERS1972414
MGYA00510650,ERZ859380,ERS1972321
MGYA00589016,ERZ839150,ERS490296
MGYA00345691,ERZ806375,ERS1871457
MGYA00238078,ERZ650164,ERS1869121
MGYA00540106,ERZ859378,ERS1972320
MGYA00583193,ERZ1749304,ERS1972331
MGYA00582554,ERZ1741243,ERS667541
MGYA00581488,ERZ1694525,ERS1030532
MGYA00520976,ERZ1022782,SRS3499057
MGYA00238064,ERZ584655,SRS1593806
MGYA00237966,ERZ584545,SRS1593766
MGYA00585842,ERZ2438929,SRS2329669
MGYA00237964,ERZ584541,SRS1593766
MGYA00593017,ERZ838778,ERS492264
MGYA00151598,ERZ475153,ERS667603
MGYA00367700,ERZ841824,ERS493938
MGYA00345647,ERZ802819,ERS1871373
MGYA00581753,ERZ1740057,SRS1401928
MGYA00510633,ERZ859395,ERS1972332
MGYA00238060,ERZ584647,SRS1593806
MGYA00237803,ERZ508544,SRS1616279
MGYA00587109,ERZ2772579,ERS489332
MGYA00593165,ERZ4290841,SRS7098387
MGYA00593010,ERZ3421961,ERS1308567
MGYA00583245,ERZ1749061,ERS1972349
MGYA00375636,ERZ842562,ERS500131
MGYA00585802,ERZ2438528,SRS2329691
MGYA00520952,ERZ891312,ERS2026636
MGYA00375857,ERZ724563,SRS794530
MGYA00248586,ERZ508616,SRS1593760
MGYA00590851,ERZ2610367,ERS5835137
MGYA00593108,ERZ839901,ERS491804
MGYA00250088,ERZ650209,SRS2339542
MGYA00590489,ERZ833381,ERS488685
MGYA00593236,ERZ4201019,SRS1525469
MGYA00248726,ERZ505369,SRS1967628
MGYA00151595,ERZ475244,ERS667551
MGYA00238030,ERZ584648,SRS1593806
MGYA00521231,ERZ1022742,SRS3499099
MGYA00510664,ERZ1756889,ERS1569007
MGYA00510662,ERZ1756880,ERS1176147
MGYA00248500,ERZ534223,SRS1593799
MGYA00375701,ERZ795114,SRS2484920
MGYA00590522,ERZ840860,ERS491492
MGYA00237780,ERZ508510,SRS2617817
MGYA00580157,ERZ1673804,SRS1338828
MGYA00583292,ERZ1748980,ERS1568979
MGYA00367704,ERZ841878,ERS488330
MGYA00593681,ERZ1292627,ERS4277060
MGYA00590834,ERZ2610364,ERS5835129
MGYA00589049,ERZ833580,ERS491938
MGYA00540109,ERZ859343,ERS1568965
MGYA00248581,ERZ508636,SRS1593760
MGYA00520922,ERZ813257,DRS049195
MGYA00582506,ERZ1741288,ERS667498
MGYA00510638,ERZ859523,ERS1972408
MGYA00580149,ERZ1673813,SRS1338810
MGYA00510693,ERZ1756838,ERS1568999
MGYA00521042,ERZ889842,ERS2026561
MGYA00510736,ERZ859519,ERS1972407
MGYA00583332,ERZ1756824,ERS1972346
MGYA00248473,ERZ534196,SRS1593799
MGYA00136752,ERZ475171,ERS667629
MGYA00590840,ERZ2610337,ERS5835123
MGYA00593355,ERZ4200934,SRS1525509
MGYA00590464,ERZ841573,ERS493460
MGYA00590863,ERZ2610343,ERS5835115
MGYA00248497,ERZ534220,SRS1593799
MGYA00592986,ERZ3422114,ERS1308623
MGYA00593770,ERZ3823101,SRS2139160
MGYA00248477,ERZ534200,SRS1593799
MGYA00590845,ERZ2610356,ERS5835130
MGYA00589840,ERZ2945090,SRS567311
MGYA00585796,ERZ2438795,SRS2329676
MGYA00582457,ERZ1741344,ERS667632
MGYA00593347,ERZ4200899,SRS1525409
MGYA00581748,ERZ1740054,SRS1401931
MGYA00587074,ERZ2772493,ERS492198
MGYA00136658,ERZ475249,ERS667556
MGYA00238014,ERZ584596,SRS1593802
MGYA00593250,ERZ4201021,SRS1525486
MGYA00590676,ERZ3792530,ERS4023177
MGYA00248608,ERZ508650,SRS1593760
MGYA00590675,ERZ3792534,ERS4023155
MGYA00582464,ERZ1741337,ERS667619
MGYA00151539,ERZ475256,ERS667563
MGYA00592970,ERZ3421830,ERS1307938
MGYA00594150,ERZ1284144,SRS4558650
MGYA00367740,ERZ842199,ERS493431
MGYA00590459,ERZ841748,ERS489134
MGYA00583212,ERZ1749311,ERS1972395
MGYA00510722,ERZ484621,ERS1972382
MGYA00510656,ERZ859238,ERS1568977
MGYA00589039,ERZ840881,ERS493390
MGYA00248480,ERZ534203,SRS1593799
MGYA00582518,ERZ1741276,ERS667497
MGYA00510756,ERZ859389,ERS1972330
MGYA00521209,ERZ813208,DRS049199
MGYA00582482,ERZ1741316,ERS667600
MGYA00520984,ERZ890425,ERS2026565
MGYA00520867,ERZ1027208,ERS1289862
MGYA00151542,ERZ475162,ERS667619
MGYA00248489,ERZ534212,SRS1593799
MGYA00583175,ERZ1749088,ERS1569009
MGYA00367635,ERZ841115,ERS490124
MGYA00590835,ERZ2610361,ERS5835110
MGYA00582508,ERZ1741286,ERS667592
MGYA00590446,ERZ841978,ERS488509
MGYA00248502,ERZ534225,SRS1593799
MGYA00583284,ERZ1748996,ERS1972328
MGYA00249856,ERZ767009,SRS1616299
MGYA00587105,ERZ2772608,ERS493651
MGYA00510682,ERZ859450,ERS1972363
MGYA00589023,ERZ842085,ERS489987
MGYA00238068,ERZ650156,ERS1869120
MGYA00238016,ERZ584600,SRS1593802
MGYA00354807,ERZ841138,ERS2876944
MGYA00587800,ERZ2944847,SRS1776406
MGYA00238019,ERZ584606,SRS1593802
MGYA00585833,ERZ2437551,SRS2329744
MGYA00593343,ERZ4200904,SRS1525411
MGYA00580194,ERZ1685331,SRS2797666
MGYA00592927,ERZ3421853,ERS1309715
MGYA00583183,ERZ1749146,ERS1972375
MGYA00593259,ERZ4200985,SRS1528207
MGYA00510701,ERZ859353,ERS1972308
MGYA00367519,ERZ829061,ERS478040
MGYA00583187,ERZ1749121,ERS1972372
MGYA00583228,ERZ1749246,ERS1972386
MGYA00433073,ERZ791558,SRS1611335
MGYA00248441,ERZ584565,SRS1593800
MGYA00589548,ERZ2944840,SRS1776199
MGYA00237890,ERZ534239,SRS2610540
MGYA00238097,ERZ650651,SRS1593877
MGYA00592931,ERZ3421851,ERS1309221
MGYA00520893,ERZ813253,DRS049207
MGYA00589042,ERZ834656,ERS494006
MGYA00345682,ERZ806365,ERS1871395
MGYA00510797,ERZ1756831,ERS1972415
MGYA00590450,ERZ841932,ERS493670
MGYA00151518,ERZ475184,ERS667647
MGYA00136697,ERZ475198,ERS667487
MGYA00589026,ERZ841987,ERS492926
MGYA00248605,ERZ508647,SRS1593760
MGYA00510745,ERZ859445,ERS1972356
MGYA00593216,ERZ837174,ERS493822
MGYA00590547,ERZ841196,ERS492321
MGYA00583337,ERZ1756837,ERS1568982
MGYA00136659,ERZ475195,ERS667484
MGYA00592994,ERZ3422273,ERS1307964
MGYA00582443,ERZ1741357,ERS667658
MGYA00581754,ERZ1740050,SRS1401925
MGYA00375697,ERZ795110,SRS2484918
MGYA00136684,ERZ475235,ERS667537
MGYA00582488,ERZ1741310,ERS667646
MGYA00593220,ERZ841003,ERS491836
MGYA00581060,ERZ1691586,ERS4846753
MGYA00248512,ERZ534159,SRS1593764
MGYA00587038,ERZ2772546,ERS490026
MGYA00248524,ERZ534154,SRS1593764
MGYA00238043,ERZ584632,SRS1593806
MGYA00238094,ERZ650643,SRS1593758
MGYA00136750,ERZ475139,ERS667591
MGYA00583231,ERZ1749238,ERS1972407
MGYA00590503,ERZ841327,ERS492381
MGYA00136672,ERZ475147,ERS667598
MGYA00583192,ERZ1749309,ERS1568969
MGYA00587797,ERZ2945118,SRS836418
MGYA00583307,ERZ1748920,ERS1972329
MGYA00375193,ERZ795127,SRS3421434
MGYA00521208,ERZ813243,DRS049204
MGYA00151549,ERZ475201,ERS667491
MGYA00510796,ERZ1756808,ERS1568993
MGYA00587110,ERZ2772578,ERS491851
MGYA00237804,ERZ508545,SRS1616285
MGYA00136710,ERZ475193,ERS667650
MGYA00249078,ERZ650330,SRS1593761
MGYA00589015,ERZ839637,ERS489987
MGYA00375668,ERZ781243,SRS2138869
MGYA00375873,ERZ724579,SRS794578
